NAME	S	BETX	BETY
SIM3A	93.177	9.306608167	9.175552164
SIM3	93.638	10.50716686	7.888217598
I06	94.093	11.81358544	6.749313307
SIZ1	94.302	12.45306306	6.273311805
I07	94.432	12.86296024	5.992788592
SIP2	94.487	13.03918026	5.877696908
I08	94.53	13.17811273	5.789203445
SIL3	94.707	13.48283051	5.553254355
I09	95.6215	10.07814864	6.778841359
SIM4	96.723	6.593710972	8.951385672
SIM4A	97.184	5.448098571	10.02509578
SIM4	97.645	4.475136013	11.21334878
I10	98.1555	3.613316014	12.63123591
SIL4	98.479	3.242069282	13.34917335
I11	98.684	3.285865256	12.84114692
OM	98.79	3.349629306	12.46408257
RP	98.845	3.385625666	12.27134999
OM	98.9	3.42361107	12.08060836
B	99.8935	4.449178123	8.977978454
FS	101.013	6.371229336	6.260358094
O1	101.194	6.757797976	5.898590476
F7	101.7605	7.465018393	5.36727933
O2	102.418	6.79307372	6.134291674
B	103.4675	5.168236185	8.709787079
DS	104.587	4.083299031	12.2875452
O1	104.768	3.970917674	12.94732698
D7	105.335	4.032385724	14.079786
OM	105.937	5.030822064	12.94965222
RP	105.992	5.169745517	12.75865947
OM	106.047	5.311747435	12.56955635
B	107.0405	8.401084094	9.47938017
FS	108.16	13.06277587	6.735689206
O1	108.341	13.93509985	6.364631379
F7	108.9075	15.55147135	5.835006214
O2	109.565	14.15596896	6.697497852
B	110.6145	10.38846402	9.500355903
DS	111.734	7.19360963	13.33549725
O1	111.915	6.756566366	14.04048255
D7	112.482	6.000519839	15.2320051
OM	113.084	6.392274392	13.96845412
RP	113.139	6.478777549	13.7581899
OM	113.194	6.56680221	13.54995665
B	114.1875	8.412771533	10.13847397
FS	115.307	11.06751361	7.087959526
O1	115.488	11.5552724	6.672694828
F7	116.0545	12.13110305	6.034104587
O2	116.712	10.29495003	6.808788259
B	117.7615	6.596652454	9.446959794
DS	118.881	3.840839704	13.04080603
O1	119.062	3.511032443	13.69912446
D7	119.629	2.918242042	14.76351688
